,|STATE|,|PRIVATE_AUTOMOBILE|,|PUBLIC_AUTOMOBILE|,|TOTAL_AUTOMOBILE|,|PRIVATE_BUSES|,|PUBLIC_BUSES|,|TOTAL_BUSES|,|PRIVATE_TRUCKS|,|PUBLIC_TRUCKS|,|TOTAL_TRUCKS|,|PRIVATE_MOTORCYCLES|,|PUBLIC_MOTORCYCLES|,|TOTAL_MOTORCYCLES|,|PRIVATE|,|PUBLIC|,|TOTAL|
1,|Alabama|,2262612,15650,2278262,5595,132,5727,2975846,25470,3001316,114178,936,115114,5358231,42188,5400419
2,|Alaska|,188848,4500,193348,3231,210,3441,568936,17444,586380,31945,8,31953,792960,22162,815122
4,|Arizona|,2311630,21104,2332734,13765,7284,21049,3073975,41751,3115726,161137,1,161138,5560507,70140,5630647
5,|Arkansas|,931252,16537,947789,11112,701,11813,1687935,32873,1720808,91804,0,91804,2722103,50111,2772214
6,|California |,14232593,230976,14463569,34582,59438,94020,13764734,272806,14037540,814423,14460,828883,28846332,577680,29424012
8,|Colorado |,1807666,14504,1822170,6044,6622,12666,2946346,32784,2979130,191206,0,191206,4951262,53910,5005172
9,|Connecticut|,1384651,1216,1385867,12551,174,12725,1351735,4906,1356641,86511,20,86531,2835448,6316,2841764
10,|Delaware |,435350,2681,438031,3538,827,4365,489557,4184,493741,28179,0,28179,956624,7692,964316
11,|Dist. of Col. |,183538,17028,200566,891,3678,4569,99240,14140,113380,3962,452,4414,287631,35298,322929
12,|Florida |,7625692,109368,7735060,26156,33969,60125,7608030,129039,7737069,570172,2582,572754,15830050,274958,16105008
13,|Georgia |,3469663,53956,3523619,12363,30179,42542,4294116,76934,4371050,199552,858,200410,7975694,161927,8137621
15,|Hawaii|,514962,7845,522807,2023,876,2899,668057,14752,682809,33431,373,33804,1218473,23846,1242319
16,|Idaho|,624560,1880,626440,2774,504,3278,1150397,8269,1158666,65604,31,65635,1843335,10684,1854019
17,|Illinois |,4734188,41226,4775414,34556,217,34773,5380864,57993,5438857,346210,0,346210,10495818,99436,10595254
18,|Indiana|,2333284,2516,2335800,8320,13485,21805,3455001,9138,3464139,223370,0,223370,6019975,25139,6045114
19,|Iowa |,1313761,12439,1326200,3847,5339,9186,2089114,22549,2111663,189519,330,189849,3596241,40657,3636898
20,|Kansas|,979717,12300,992017,1639,2279,3918,1520456,22140,1542596,96325,0,96325,2598137,36719,2634856
21,|Kentucky|,1680771,33188,1713959,1292,9188,10480,2267668,48857,2316525,110938,80,111018,4060669,91313,4151982
22,|Louisiana|,1409821,28747,1438568,22185,6776,28961,2269239,50588,2319827,113599,477,114076,3814844,86588,3901432
